Tweet,Tweet_Clear,Tweet_Eng,TextBlobTür,TextBlobYoğunluk,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383
"bunu da önermişler, python kodları da var analizleri anlatırken. book seçip 0 doları seçerek indirebilirsiniz. maili sallasanız da olur. https://t.co/2x2XHLC3Am",bunu da önermişler python kodları da var analizleri anlatırken book seçip doları seçerek indirebilirsiniz maili sallasanız da olur,they also suggested that python codes also have the analysis when explaining the book you can select the dollar you can download the mail,Nötr,0 - 25%,-0.032468457,-0.26711234,-0.38864467,-0.10791818,-0.37277338,-0.0542548,0.7217267,-0.063463315,-0.16747296,0.12488908,0.2097643,0.083544776,0.29131755,0.019214606,0.06080882,0.09259826,-0.13244317,0.62435955,-0.29437432,-0.09621634,-0.021653047,-0.5096201,-0.13587004,-0.13471338,0.32111582,0.13583076,0.07002515,-0.32962328,-0.14219911,0.1070614,-0.004412822,0.50340986,0.25136566,-0.046078146,0.19942762,0.66665506,-0.4370422,-0.218911,-0.094696015,0.20845701,-0.34046698,0.017363116,0.055244192,-0.18464962,0.07816705,-0.35991085,-0.036825724,0.0030839737,-0.13918969,-0.056596342,-0.63875407,-0.22016338,0.04850813,-0.7700961,0.18700036,-0.49241206,0.3357137,0.33064964,-0.21180283,-0.3971149,-0.3045218,0.14633815,-0.17225382,0.17998627,-0.015519435,0.17896506,-0.3107326,-0.055034507,0.18106632,-0.24616049,0.018900044,-0.06813377,-0.5278091,0.17237435,-0.36809915,0.016119143,0.57183623,0.4807466,0.008759944,-0.38246706,0.07698418,-0.01080407,0.045138568,0.021747744,-0.21899484,0.26338935,0.3485815,0.10176974,0.43866205,-0.42361626,0.5696679,0.38601577,0.11174771,-0.20278679,0.31097424,0.016200777,0.49821252,-0.42895454,-0.09813581,0.093892135,0.03484851,-0.15198575,-0.01083778,0.14571327,-0.0018140606,-0.25321957,0.47580022,-0.34839854,0.12842685,0.02520325,0.0073014544,-0.0998459,-0.046715062,0.019357083,0.35143238,-0.025464116,0.15164165,0.45269066,0.014918466,0.26290277,-0.060871653,0.09236092,-0.05696607,-0.11728437,0.10860852,0.19020607,0.26705593,0.12508976,-0.37486452,-0.05089311,0.23913638,-0.027446963,-0.08025545,0.15693536,-0.022727624,-0.025370238,0.24012187,-0.24509577,-0.6733253,-0.3600056,-0.30071738,-0.1943708,0.26451132,-0.14415747,0.06783124,0.28966892,-0.052449577,0.3188785,-0.0774702,0.3246593,0.1909538,-0.22171521,0.0027923752,0.072995916,0.22269928,-0.23730937,0.13424589,0.092779174,0.20303304,-0.24805138,-0.26964098,0.3863973,-0.43377838,-0.01745156,-0.322633,0.113894366,-0.44517222,0.012537344,0.037188895,0.11823346,0.13013716,0.007116169,-0.020725965,0.08271882,-0.1780691,0.081141636,-0.36556163,0.06074528,0.15204489,0.4324695,-0.123896204,0.2525951,0.01681381,-0.122705184,0.02509223,0.12305297,0.09840007,0.0923215,0.055644073,-0.5546063,-0.0008887851,-0.48256233,0.19654168,-0.32799873,0.12390869,-0.27681166,0.6011169,0.16030183,-0.20104553,-0.03300707,-0.30121812,0.18262509,0.28463212,-0.28947237,0.069734655,-0.041134514,0.20935966,0.24115847,-0.024037547,0.4187447,-0.058600742,-0.17866583,-0.10784687,0.07967877,-0.1251799,-0.11663459,0.37666065,0.30058607,-0.61664486,-0.024141992,-0.36990213,-0.2836169,0.431595,-0.43685365,-0.11050791,-0.07494965,-0.5403874,0.3129459,-0.30565086,-0.25901645,0.14375332,-0.32816845,0.12710738,0.07498586,-0.27258906,-0.24294393,0.15976644,0.1256009,-0.030033382,0.37398368,0.19687651,0.17810984,-0.07535933,0.05183243,-0.5123465,0.053502478,-0.23293516,0.0045796297,-0.12845835,0.16591509,0.3478492,-0.06205379,-0.12194689,0.015540348,0.2618069,-0.23875009,-0.64274883,-0.09780319,-0.39917287,-0.036419746,0.5782138,-0.273389,-0.3513632,0.41260254,0.18364784,0.24406193,-0.1753586,0.8501867,0.24105439,-0.41879848,0.10778564,-0.21634676,-0.19311841,-0.44690698,0.102213174,-0.41989425,0.3405734,-0.25617826,-0.011229612,0.020917628,0.19055304,-0.08583355,-0.29693305,0.18160246,-0.06382406,-0.1389261,0.23027764,0.11674969,-0.3736655,0.35666507,-0.03641169,0.12833986,0.121388234,-0.45730233,0.2358433,-0.1287787,-0.43125793,0.12335041,-0.24115278,0.44016474,-0.11724488,-0.008864011,-0.11645936,-0.019057175,0.25388667,-0.2936495,0.08941066,0.2848856,0.19524264,0.14076766,0.090902254,-0.25603038,0.2846491,-0.1354405,0.1917651,0.2022457,-0.16129088,0.52002466,0.48419118,0.22828563,-0.33083656,-0.09170243,-0.8327497,0.24292728,0.25897846,-0.09193382,-0.36287332,-0.20986219,-0.06380549,-0.07721536,-0.2047406,-0.10814798,-0.4336508,-0.093184285,0.5815156,0.53868645,0.15608321,0.109485425,-0.0025804397,0.043849636,0.53129375,-0.0915574,-0.10280143,-0.07127177,-0.5734484,-0.35816243,0.42959806,0.73054874,-0.060945135,-0.5312857,0.46366704,0.24182461,-0.24861372,0.035549175,0.44127288,0.22956856,-0.12078219,-0.159793,0.142191,0.22040972,-0.44236672,0.0548377,-0.13454248,0.024491655,0.21202683,0.1759489,-0.23963363,-0.17846414,-0.011893751,-0.0027903044,-0.22324608,0.40643224,0.13085516,0.54845446,0.58787507,0.23837775,-0.05503667,0.1411905,-0.25340727,0.26586094,-0.2584321,0.021948107,0.25799638,0.06480493
Abla python kullansana mal mısın https://t.co/wH3pW2M0BU,abla python kullan mal mısın,"sister, use python, are you goods",Nötr,0 - 25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Python'da Veritabanı İşemleri Tablo Oluşturma,Veri Ekleme,Veri Güncelleme https://t.co/4STteCMzFt 
#python #db #sqlite3",python da veritabanı işlemleri tablo oluşturma veri ekleme veri güncelleme,database transactions in python creation creation data add data update,Nötr,0 - 25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@Benediximus_ @atilla_yayla @emrahgulsunar “C, Java, Python hep saymaya 0’dan başlıyor, dijital çağı yakalama noktasında…” falan dese daha mantıklı/inandırıcı olurdu.",c java python hep saymaya dan başlıyor dijital çağı yakalama noktasında falan dese daha mantıklı inandırıcı olurdu,"c java python always starts from counting, it would be more convincing if he said at the point of capturing the digital age or something.",Pozitif,%50 - %75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"E-Devlet'te bulunan bazı eğitimler:

- Yabancı dil eğitimleri

- Arama motoru optimizasyonu ( SEO )

- 3ds Max ile modelleme

- Python ile programlama

- SQL 

- Excel eğitimi https://t.co/eMg5IbHBrB",e devlet te bulunan bazı eğitimler yabancı dil eğitimleri arama motoru optimizasyonu seo ds max ile modelleme python ile programlama sql excel eğitimi,some trainings found in the state foreign language trainings search engine optimization seo ds max modeling with python with python sql excel training,Negatif,0 - 25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python'dan sonra R öğrenmek üzere çıktığım bu yolda şu an matris çalışıyorum. Az sonra ayt mat videolarına bağlanıp soru bankası sipariş ediyorum glb,python dan sonra r öğrenmek üzere çıktığım bu yolda şu an matris çalışıyorum az sonra ayt mat videolarına bağlanıp soru bankası sipariş ediyorum galiba,"after python, i am currently working on this road to learn r.",Nötr,%25 - %50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python ile Derin Öğrenme - François Chollet kitabina ihtiyaci olan varsa gonderebilirim.,python ile derin öğrenme françois Cholet kitabına ihtiyacı olan varsa gönderebilirim,"deep learning with python, i can send françois cholet if anyone needs it",Nötr,%25 - %50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@rdvnblmr1 Şuan 8. Sınıf olduğum için yazılım derslerine bir müddet ara vermek zorunda kaldım ama bu süre zarfında kendimi geliştirdim. Python'da bir sürü proje yaptım ve yapmaya devam ediyorum. LGS den hemen sonra kursa devam edeceğim.,şu an sınıf olduğum için yazılım derslerine bir müddet ara vermek zorunda kaldım ama bu süre zarfında kendimi geliştirdim python da bir sürü proje yaptım ve yapmaya devam ediyorum lgs den hemen sonra kursa devam edeceğim,"since i am a class now, i had to take a break in software lessons for a while, but during this time i developed myself in python, i did a lot of projects and i continue to do so i will continue the course immediately after lgs",Nötr,%25 - %50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Matematik dersi için random modülü ile sayı tahmin oyunu
#Python #random https://t.co/amx1SMSmDb",matematik dersi için random modülü ile sayı tahmin oyunu,number estimation game with random module for math lesson,Negatif,%25 - %50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yazılımla eğitim-öğretim, sınav vb gibi bir çok iş kolay hale geliyor:)#Python #javascript #c++ https://t.co/7RtUfrMRLe",yazılımla eğitim öğretim sınav vb gibi bir çok iş kolay hale geliyor python,a lot of work such as software education and training exams etc. is becoming easy python,Pozitif,%75 - %100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
