Tweet,Tweet_Clear,Tür,Yoğunluk,label,score
regl sancısından yamularak kahve içen o kız..,regl sancısından yamularak kahve içen o kız,Nötr,0 - 25%,Negatif,0.9953740239143372
#bayrakli şirinyer  tamamen dışarıda bırakıldı ve yerine başka bir çay kaşığı kahve https://t.co/ceL7czNRtF,şirinyer tamamen dışarıda bırakıldı ve yerine başka bir çay kaşığı kahve,Nötr,0 - 25%,Negatif,0.9991484880447388
eğer ben isteseydim ben dünyanın en büyük aşığı olabilirdim ama işim var kahve içiyorum😀😀😀 https://t.co/oobxwkSPwz,eğer ben isteseydim ben dünyanın en büyük aşığı olabilirdim ama işim var kahve içiyorum,Nötr,0 - 25%,Negatif,0.7779290676116943
@kvefsaneleri Biz kırk yıldır ne boşuna kahve içtik ne boşuna acı çektik,biz kırk yıldır ne boşuna kahve içtik ne boşuna acı çektik,Nötr,0 - 25%,Negatif,0.9268286228179932
@pvrisgay bence cok lüks ve asiri bi kahvalti bende cogu zaman kahve bile olmuyor,bence çok lüks ve aşırı bir kahvaltı bende çoğu zaman kahve bile olmuyor,Negatif,%75 - %100,Negatif,0.9993441700935364
@sergioneer @turkoshitpost Sakin ol knk 5 saniyede dikiyon üstüne su içiyon 10 saniyede bişeyin kalmıyo ama kassıyonuz bu kahve olayını sanki 83717 tuğla taşıyıp alıyon kızı bi tuzlu kahve ney,sakin ol kanka saniyede dikiyorsun üstüne su içiyorsun saniyede bireyin kalmıyor ama kassiyonuz bu kahve olayını sanki tuğla taşıyıp alıyorsun kızı bir tuzlu kahve ney,Nötr,%25 - %50,Negatif,0.9972967505455017
"Günaydın rüyamda bahçeliyle yenicumada kahve içiyoduk, bu hafta da saçma geçicek belli oldu",günaydın rüyamda bahçeliyle yenicumada kahve içiyorduk bu hafta da saçma geçecek belli oldu,Pozitif,%75 - %100,Negatif,0.9953807592391968
"yatarken şunu şunu giyerim, ayağıma da bunu diye uyudum ama ruh halim hiç o kombine uymuyor, kahve elimde başımdaki havlu neredeyse düştü düşecek öyle dolaba bakıyorum",yatarken şunu şunu giyerim ayağıma da bunu diye uyudum ama ruh halim hiç o kombine uymuyor kahve elimde başımdaki havlu neredeyse düştü düşecek öyle dolaba bakıyorum,Pozitif,%25 - %50,Negatif,0.9986881613731384
@Haluk_Yurekli Hava limanında denk gelmiş kahve içiyorlar ne var bunda ve TFF den sadece Hamit var hamite en alt tabakadan zaten sizin yüneticiler kahve ısmarlamasını bilmedikleri için size ters geliyor böyle şeyler,hava limanında denk gelmiş kahve içiyorlar ne var bunda ve tff den sadece hamit var hâmite en alt tabakadan zaten sizin yöneticiler kahve ısmarlamasını bilmedikleri için size ters geliyor böyle şeyler,Nötr,0 - 25%,Negatif,0.9782481789588928
"@trtturku Günaydın Pınar Hanım. Hoş geldiniz, sefalar getirdiniz. Geçmiş olsun.
Sıradaki türküler ""TRT Türkü'nün""birbirinden değerli ekibine, türkü dostlarına, kızım Burcu'ya ve bana gelsin. Hoşça ve sağlıcakla kalınız. Kahve tadında bir gün olsun. https://t.co/DGKR1N6ghm",günaydın pınar hanım hoş geldiniz sefalar getirdiniz geçmiş olsun sıradaki türküler t türkü nün birbirinden değerli ekibine türkü dostlarına kızım burcu ya ve bana gelsin hoşça ve sağlıcakla kalın kahve tadında bir gün olsun,Pozitif,%25 - %50,Pozitif,0.8957515954971313
@EnesOkullu @turkoshitpost Sakin ol knk 5 saniyede dikiyon üstüne su içiyon 10 saniyede bişeyin kalmıyo ama kassıyonuz bu kahve olayını sanki 83717 tuğla taşıyıp alıyon kızı bi tuzlu kahve ney,sakin ol kanka saniyede dikiyorsun üstüne su içiyorsun saniyede bireyin kalmıyor ama kassiyonuz bu kahve olayını sanki tuğla taşıyıp alıyorsun kızı bir tuzlu kahve ney,Nötr,%25 - %50,Negatif,0.9972967505455017
Herkesin günü kendi kahvesinin tadı gibi olsun :)) Ben kahve olmayan okulda dönemi bitiriyorum bugün 😄😄😄Günaydın☕️☕️,herkesin günü kendi kahvesinin tadı gibi olsun ben kahve olmayan okulda dönemi bitiriyorum bugün günaydın,Nötr,0 - 25%,Pozitif,0.9458784461021423
"gunaydin tiviti atmadan güne baslayamiyomusum bir de kahve icmeden ☕️ gunaydiiinnn🪻 yeni gunde şifa bekleyenlere şifa, huzur bekleyenlere huzur, haber bekleyenlere hayırlı haberler nasip et Allahım Amin",günaydın diviti atmadan güne başlayamıyormuşum bir de kahve içmeden günaydın yeni günde şifa bekleyenlere şifa huzur bekleyenlere huzur haber bekleyenlere hayırlı haberler nasip et allahım amin,Pozitif,%50 - %75,Negatif,0.6172279715538025
"Günaydın yeni hafta
Bence kahve de yetmez ama uyandık işte",günaydın yeni hafta bence kahve de yetmez ama uyandık işte,Pozitif,%50 - %75,Pozitif,0.6560034155845642
"Gunaydin
Kahve.
Saglikli, huzurlu ve basarili bir gun ve hafta olsun.
☕🍀",günaydın kahve sağlıklı huzurlu ve başarılı bir gün ve hafta olsun,Pozitif,%50 - %75,Pozitif,0.9554400444030762
"148km/sa hızla göz yarı açık şekilde hastaneye sağsalim gelindi🤲🏻
Vizit atıldı, dayılara selam verildi 👉🏻
Kahve eşliğinde façe dr baboşlar finans okumaları ve ele verilen kağıtlar incelendi✅ 
Knkilerle göt donarak sigara çay👌🏻
Ameliyathanede ortam kolaçan edildi🤛🏻
Başlıyoruz 🔪",km şa hızla göz yarı açık şekilde hastaneye sağsalım gelinildi vizite atıldı dayılara selam verildi kahve eşliğinde face dr Babaş'lar finans okumaları ve ele verilen kağıtlar incelenildi ankilerle göt donarak sigara çay ameliyathanede ortam kolaçan edildi başlıyoruz,Nötr,0 - 25%,Pozitif,0.8278353810310364
@rashida_a_va balzac kahve bağımlısı ya...,balzac kahve bağımlısı ya,Nötr,0 - 25%,Pozitif,0.5437538027763367
bilistex sürüp kahve içince vicks yemiş gibi oluyorum,bilişte sürüp kahve içince vicks yemiş gibi oluyorum,Nötr,0 - 25%,Negatif,0.7634130120277405
Feto'ya ürgüte destek veren her kim olursa olsun o hayırlık yaparlar bizden değildir onlar bir kahve çocukları ermenidir bayrağımıza vatanımıza yanlış yapan bizden değildir Allah hayırlı yapanlara kahretsin perişan eylesin inşallah amin ya Allah bismillah Allahu Ekber amin amin,fetö ya örgüte destek veren her kim olursa olsun o hayırlık yaparlar bizden değildir onlar bir kahve çocukları ermenidir bayrağımıza vatanımıza yanlış yapan bizden değildir allah hayırlı yapanlara kâhretsin perişan eylesin inşallah amin ya allah bismillah Allah ekber amin amin,Nötr,%75 - %100,Pozitif,0.9090133309364319
@leyan_kahve Aldatılmak ilk sırada olmak o eskidendi akillandık inancindayim😊 aşk sevgi boş en güzeli mantık sevildigin sürece no sıkıntı 🤫🤭😍,aldatılmak ilk sırada olmak o eskidendi akıllandık inançındayım aşk sevgi boş en güzeli mantık sevildiğin sürece no sıkıntı,Pozitif,%50 - %75,Negatif,0.9509549736976624
"Günaydın turunç yapraklarım, kalkın kahve içeceğiz",günaydın turunç yapraklarım kalkın kahve içeceğiz,Pozitif,%50 - %75,Negatif,0.9121910929679871
"Ofise giderken kavimler göçünü yine yeniden yaşıyorum. Yol için su, termosa kahve, kahvaltı, öğlen yemeği, meyve, bahçedeki kedilere mama, havanın aydınlık olduğu zamanlarda yolda okumalık kitap...
Bunlar bilgisayarım hariç taşıdıklarım 🥲",ofise giderken kavimler göçünü yine yeniden yaşıyorum yol için şu termosa kahve kahvaltı öğlen yemeği meyve bahçedeki kedilere mama havanın aydınlık olduğu zamanlarda yolda okumalık kitap bunlar bilgisayarım hariç taşıdıklarım,Nötr,0 - 25%,Negatif,0.9346427321434021
Yakın arkadasımla kahve eşliğinde 38 saat konuşmam gereken konuyu 600 kmlik bir mesafe yüzünden bu şekilde ifade etmek zorunda kalmam da ışınlanmayı bulamayan bilim insanlarının ayıbı bence.,yakın arkadaşımla kahve eşliğinde saat konuşmam gereken konuyu kimlik bir mesafe yüzünden bu şekilde ifade etmek zorunda kalmam da ışınlanmayı bulamayan bilim insanlarının ayıbı bence,Negatif,%25 - %50,Negatif,0.9987015724182129
kahve iç Charlie ile oyun oyna sabah olsun müthişşiş,kahve iç charlie ile oyun oyna sabah olsun müthişsin,Pozitif,%25 - %50,Pozitif,0.9971605539321899
"Ünlülerin Cilt Bakım Sırları
https://t.co/9zaD82VG4a

#AngelinaJolie #BalıkYumurtası #CiltBakımı #CindyCrawford #DebraMessing #ElmaSirkesi #Estetik #EvaLongoria #HalleBerry #JuliaRoberts #Kahve #KimKardashian #KuşDışkısı #Plasenta #ScarlettJohansson #Süt #YılanZehri #Yosun https://t.co/80Z5oPjyjI",ünlülerin cilt bakım sırları,Nötr,0 - 25%,Pozitif,0.9936749339103699
Günaydın millet bi kahve ? https://t.co/cVudTC5jeY,günaydın millet bir kahve,Pozitif,%50 - %75,Pozitif,0.9659625291824341
"kahve 🌻🌼 Yeni Adresimiz  https://t.co/T2jYGa6BKW

🌻🌼 Bonus Kazanmayı Unutma 

🌻🌼 Tıkla Üye Ve Sende Bonus Kazan 

🌻🌼 #safirbet rengi  https://t.co/hBi6SBPa8O",kahve yeni adresimiz bonus kazanmayı unutma tıkla üye ve sende bonus kazan rengi,Pozitif,%25 - %50,Pozitif,0.9806272387504578
@beriaekincii Bırakma kahve çok güzel bir şey,bırakma kahve çok güzel bir şey,Pozitif,%75 - %100,Pozitif,0.8445665836334229
"@evrenalankus @ilavetvArif07 @gokhanozbek @yirmiucderece @sabansevinc2 @MstSelanik @srkntnyldz @ruh_adam_reissp O mücadele trollerle verilmiyor.
 Markete gidince, faturalar gelince, vergiler binince, yola çıkılınca, hasta olunca,eczaneye ugrayınca, bir kahve içilince anlaşılıyor.
Bunları da bu saatten sonra düzeltemeyeceginize göre !!",o mücadele trollerle verilmiyor markete gidince faturalar gelince vergiler binince yola çıkılınca hasta olunca eczaneye uğrayınca bir kahve içilince anlaşılıyor bunları da bu saatten sonra düzeltemeyeceğinize göre,Negatif,%75 - %100,Negatif,0.915184736251831
@BeMina27 kahve var mı☕,kahve var mı,Nötr,0 - 25%,Pozitif,0.7212579250335693
Bu kahve bi beni mi ayıltmıyo? 20 bardak içtim amuha,bu kahve bir beni mi ayıltmıyor bardak içtim amuda,Nötr,0 - 25%,Negatif,0.934205949306488
Kalbimin varlığını teyit etmek için arada bir koyu kahve içiyorum ben de https://t.co/cg7MddLYKO,kalbimin varlığını teyit etmek için arada bir koyu kahve içiyorum ben de,Negatif,%25 - %50,Pozitif,0.6907157301902771
"Yüreğiyle konuşan insanlar olsun hayatınızda 
Güzel bakışlarıyla sıcak içten ve samimi 
Bir kahve içimlik sohbetleriyle içinizi ısıtan 
Mutlu PAZARTESİ 
G❤️Ü❤️N❤️A❤️Y❤️D❤️I❤️N 
💙🤗 https://t.co/Fz37DMp8HV",yüreğiyle konuşan insanlar olsun hayatınızda güzel bakışlarıyla sıcak içten ve samimi bir kahve içimlik sohbetleriyle içinizi ısıtan mutlu pazartesi günaydın,Pozitif,%75 - %100,Pozitif,0.8765959739685059
