Tweet,Tweet_Clear,Tweet_Eng,Tweet_Ayrı_Eng,TextBlobTür,TextBlobYoğunluk,neg,neu,pos,compound
"bunu da önermişler, python kodları da var analizleri anlatırken. book seçip 0 doları seçerek indirebilirsiniz. maili sallasanız da olur. https://t.co/2x2XHLC3Am",bunu da önermişler python kodları da var analizleri anlatırken book seçip doları seçerek indirebilirsiniz maili sallasanız da olur,they also suggested that python codes also have the analysis when explaining the book you can select the dollar you can download the mail,also suggested python codes also analysis explaining book select dollar download mail,Nötr,0 - 25%,0.0,1.0,0.0,0.0
Abla python kullansana mal mısın https://t.co/wH3pW2M0BU,abla python kullan mal mısın,"sister, use python, are you goods","sister, use python, goods",Nötr,0 - 25%,0.0,1.0,0.0,0.0
"Python'da Veritabanı İşemleri Tablo Oluşturma,Veri Ekleme,Veri Güncelleme https://t.co/4STteCMzFt 
#python #db #sqlite3",python da veritabanı işlemleri tablo oluşturma veri ekleme veri güncelleme,database transactions in python creation creation data add data update,database transactions python creation creation data add data update,Nötr,0 - 25%,0.0,0.625,0.375,0.4939
"@Benediximus_ @atilla_yayla @emrahgulsunar “C, Java, Python hep saymaya 0’dan başlıyor, dijital çağı yakalama noktasında…” falan dese daha mantıklı/inandırıcı olurdu.",c java python hep saymaya dan başlıyor dijital çağı yakalama noktasında falan dese daha mantıklı inandırıcı olurdu,"c java python always starts from counting, it would be more convincing if he said at the point of capturing the digital age or something.","c java python always starts counting, would convincing said point capturing digital age something.",Pozitif,%50 - %75,0.0,0.828,0.172,0.4019
"E-Devlet'te bulunan bazı eğitimler:

- Yabancı dil eğitimleri

- Arama motoru optimizasyonu ( SEO )

- 3ds Max ile modelleme

- Python ile programlama

- SQL 

- Excel eğitimi https://t.co/eMg5IbHBrB",e devlet te bulunan bazı eğitimler yabancı dil eğitimleri arama motoru optimizasyonu seo ds max ile modelleme python ile programlama sql excel eğitimi,some trainings found in the state foreign language trainings search engine optimization seo ds max modeling with python with python sql excel training,trainings found state foreign language trainings search engine optimization seo ds max modeling python python sql excel training,Negatif,0 - 25%,0.0,0.741,0.259,0.6808
Python'dan sonra R öğrenmek üzere çıktığım bu yolda şu an matris çalışıyorum. Az sonra ayt mat videolarına bağlanıp soru bankası sipariş ediyorum glb,python dan sonra r öğrenmek üzere çıktığım bu yolda şu an matris çalışıyorum az sonra ayt mat videolarına bağlanıp soru bankası sipariş ediyorum galiba,"after python, i am currently working on this road to learn r.","python, currently working road learn r.",Nötr,%25 - %50,0.0,1.0,0.0,0.0
Python ile Derin Öğrenme - François Chollet kitabina ihtiyaci olan varsa gonderebilirim.,python ile derin öğrenme françois Cholet kitabına ihtiyacı olan varsa gönderebilirim,"deep learning with python, i can send françois cholet if anyone needs it","deep learning python, send françois cholet anyone needs",Nötr,%25 - %50,0.0,1.0,0.0,0.0
@rdvnblmr1 Şuan 8. Sınıf olduğum için yazılım derslerine bir müddet ara vermek zorunda kaldım ama bu süre zarfında kendimi geliştirdim. Python'da bir sürü proje yaptım ve yapmaya devam ediyorum. LGS den hemen sonra kursa devam edeceğim.,şu an sınıf olduğum için yazılım derslerine bir müddet ara vermek zorunda kaldım ama bu süre zarfında kendimi geliştirdim python da bir sürü proje yaptım ve yapmaya devam ediyorum lgs den hemen sonra kursa devam edeceğim,"since i am a class now, i had to take a break in software lessons for a while, but during this time i developed myself in python, i did a lot of projects and i continue to do so i will continue the course immediately after lgs","since class now, take break software lessons while, time developed python, lot projects continue continue course immediately lgs",Nötr,%25 - %50,0.0,1.0,0.0,0.0
"Matematik dersi için random modülü ile sayı tahmin oyunu
#Python #random https://t.co/amx1SMSmDb",matematik dersi için random modülü ile sayı tahmin oyunu,number estimation game with random module for math lesson,number estimation game random module math lesson,Negatif,%25 - %50,0.0,0.822,0.178,0.0772
"Yazılımla eğitim-öğretim, sınav vb gibi bir çok iş kolay hale geliyor:)#Python #javascript #c++ https://t.co/7RtUfrMRLe",yazılımla eğitim öğretim sınav vb gibi bir çok iş kolay hale geliyor python,a lot of work such as software education and training exams etc. is becoming easy python,lot work software education training exams etc. becoming easy python,Pozitif,%75 - %100,0.0,0.756,0.244,0.4404
yeni python kütüphaneleri release aşaması https://t.co/yJ896QpfLL,yeni python kütüphaneleri release aşaması,new python libraries release stage,new python libraries release stage,Pozitif,%25 - %50,0.0,1.0,0.0,0.0
@asimcanyagizz Zamanında bu işi yapan bir Python botu yazmıştım 😂,zamanında bu işi yapan bir python botu yazmıştım,i wrote a python boat that did this job on time,wrote python boat job time,Nötr,0 - 25%,0.0,1.0,0.0,0.0
@TraderMikabot @OktayPoyrazTr sence bireysel çabayla orta üstü bir seviye python öğrenme durumum nedir? siz bilgisayar mı yoksa yazılım mühendisliği mezunu musunuz?,sence bireysel çabayla orta üstü bir seviye python öğrenme durumum nedir siz bilgisayar mı yoksa yazılım mühendisliği mezunu musunuz,do you think what is my status of python learning with individual effort? are you a computer or a software engineering graduate,think status python learning individual effort? computer software engineering graduate,Nötr,%25 - %50,0.0,1.0,0.0,0.0
"@emrahgulsunar sadece şu filmi izlemeniz bile kâfi.
-monty python's life of brian (1979) https://t.co/P530obWNkB",sadece şu filmi izlemeniz bile kafi monty python s life of brian,"just watching this movie, kafi monty python s life of brian","watching movie, kafi monty python life brian",Nötr,0 - 25%,0.0,1.0,0.0,0.0
"arkadaş cv'mi yorumluyor...

fatihin dc yayınında 2 ders de python dinlemiştim. ileri seviye yazmamak için zor tuttum kendimi https://t.co/LHfhba96HY",arkadaş cv mi yorumluyor fatihin dc yayınında ders de python dinlemiştim ileri seviye yazmamak için zor tuttum kendimi,friend cv interprets the conqueror dc broadcast in the course i listened to python i kept myself hard not to write forward,friend cv interprets conqueror dc broadcast course listened python kept hard write forward,Negatif,%50 - %75,0.09,0.705,0.205,0.4215
PYTHON PROGRAMLAMA EĞİTİMİ https://t.co/zbyruBQzc8,python programlama eğitimi,python programming training,python programming training,Nötr,0 - 25%,0.0,1.0,0.0,0.0
"@3rdemayaz Kodlama tecrübem yok, henüz 2 aydır Python ile ilgileniyorum. Bu konuyla ilgili görüşüm, ne çok aralıklı, ne hiç aralıksız olmalı. Kodları paragraflar olarak düşünüp, anlam bütünlüğüne ve ilişkisine göre yeterli boşluk bırakılmalı.",kodlama tecrübem yok henüz aydır python ile ilgileniyorum bu konuyla ilgili görüşüm ne çok aralıklı ne hiç aralıksız olmalı kodları paragraflar olarak düşünüp anlam bütünlüğüne ve ilişkisine göre yeterli boşluk bırakılmalı,"i have no coding experience yet i have been interested in python for months, my opinion on this issue should be very intermittently or no uninterrupted codes as paragraphs and leave enough space according to the integrity of meaning and relationship","coding experience yet interested python months, opinion issue intermittently uninterrupted codes paragraphs leave enough space according integrity meaning relationship",Nötr,%25 - %50,0.053,0.711,0.236,0.6249
"Python ile Makine Öğrenmesi yeni video yayında.

Twitter Analizi-4

Twitter verilerini RegEx ile düzenleme

İyi seyirler, iyi akşamlar efendim...

https://t.co/h9EHRexiA1 https://t.co/iJEP2XNhyP",python ile makine öğrenmesi yeni video yayında twitter analizi twitter verilerini Regev ile düzenleme iyi seyirler iyi akşamlar efendim,machine learning with python on the new video broadcast twitter analysis twitter data with regev good looking good evening sir sir,machine learning python new video broadcast twitter analysis twitter data regev good looking good evening sir sir,Pozitif,%50 - %75,0.0,0.721,0.279,0.7003
selenium - 4.8.0: https://t.co/LqvZsPqwrc #python,selenium,selenium,selenium,Nötr,0 - 25%,0.0,1.0,0.0,0.0
"@koziLife DevOps deyince herkes farklı bir şeyler anlıyor; farklı firmaların farklı uygulamaları var. Ama bildiğim kadarıyla:
- IaC
- Logging/monitoring
- Scripting/programming python, go, bash vb
- Linux
- Containerization &amp; orchestration 
- Cloud 
- Networking
atladığım bir şeyler vardır",devops deyince herkes farklı bir şeyler anlıyor farklı firmaların farklı uygulamaları var ama bildiğim kadarıyla iac jogging monitoring Script'in programming python go baş vb linux containerization amp orchestration cloud networking atladığım bir şeyler vardır,devops deyince herkes farklı bir şeyler anlıyor farklı firmaların farklı uygulamaları var ama bildiğim kadarıyla iac jogging monitoring Script'in programming python go baş vb linux containerization amp orchestration cloud networking atladığım bir şeyler vardır,devops deyince herkes farklı bir şeyler anlıyor farklı firmaların farklı uygulamaları var ama bildiğim kadarıyla iac jogging monitoring Script'in programming python go baş vb linux containerization amp orchestration cloud networking atladığım bir şeyler vardır,Nötr,0 - 25%,0.0,1.0,0.0,0.0
@isvec_kraIi C# Python Ruby biliyorum İngilizce çat pat anlıyorum çat pat konuşuyorum kendimi geliştirmek için Sabahlara kadar çalışıyorum tek hedefim yazılım geliştirme şirketi kurmak,c python ruby biliyorum ingilizce çat pat anlıyorum çat pat konuşuyorum kendimi geliştirmek için sabahlara kadar çalışıyorum tek hedefim yazılım geliştirme şirketi kurmak,c python ruby biliyorum ingilizce çat pat anlıyorum çat pat konuşuyorum kendimi geliştirmek için sabahlara kadar çalışıyorum tek hedefim yazılım geliştirme şirketi kurmak,c python ruby biliyorum ingilizce çat pat anlıyorum çat pat konuşuyorum kendimi geliştirmek için sabahlara kadar çalışıyorum tek hedefim yazılım geliştirme şirketi kurmak,Nötr,0 - 25%,0.0,1.0,0.0,0.0
Monty Python mesela geçen gün Life of Brian filminden bir sahne izledim. Günümüzde aktif olarak tartışmasının yapıldığı bir konuda 1979 yılında yapılmış iğnelemeye güldüm. Verdiğim çok başarılı bir mizahın örneği belki ama toplum iyi ele alındığında güncel bir mizah hiç zor değil,monty python mesela geçen gün life of brian filminden bir sahne izledim günümüzde aktif olarak tartışmasının yapıldığı bir konuda yılında yapılmış iğnelemeye güldüm verdiğim çok başarılı bir mizahın örneği belki ama toplum iyi ele alındığında güncel bir mizah hiç zor değil,monty python mesela geçen gün life of brian filminden bir sahne izledim günümüzde aktif olarak tartışmasının yapıldığı bir konuda yılında yapılmış iğnelemeye güldüm verdiğim çok başarılı bir mizahın örneği belki ama toplum iyi ele alındığında güncel bir mizah hiç zor değil,monty python mesela geçen gün life brian filminden bir sahne izledim günümüzde aktif olarak tartışmasının yapıldığı bir konuda yılında yapılmış iğnelemeye güldüm verdiğim çok başarılı bir mizahın örneği belki ama toplum iyi ele alındığında güncel bir mizah hiç zor değil,Nötr,0 - 25%,0.0,1.0,0.0,0.0
"Veri Görselleştirme 

https://t.co/RYChw5DNyJ

🔊 JavaScript Eğitimim Yarın Başlıyor Kayıt için Son Saatler
🔥 Geçen Seneki Fiyatlarla Son Eğitim

✍️ Kayıt ve Detaylar için:
🔗 https://t.co/XwMhPXE46u

🏷️ #ZaferDemirkol #Ocak2023 #YapayZeka #Python #Eğitim #JavaScript https://t.co/SLkWXFmJQr",veri görselleştirme javascript eğitimim yarın başlıyor kayıt için son saatler geçen seneki fiyatlarla son eğitim kayıt ve detaylar için,veri görselleştirme javascript eğitimim yarın başlıyor kayıt için son saatler geçen seneki fiyatlarla son eğitim kayıt ve detaylar için,veri görselleştirme javascript eğitimim yarın başlıyor kayıt için son saatler geçen seneki fiyatlarla son eğitim kayıt detaylar için,Nötr,0 - 25%,0.0,1.0,0.0,0.0
"Veri Yapıları

🔊 JavaScript Eğitimim Yarın Başlıyor Kayıt için Son Saatler

🔥 Geçen Seneki Fiyatlarla Son Eğitim

✍️ Kayıt ve Detaylar için:

🔗 https://t.co/XwMhPXE46u

🏷️ #ZaferDemirkol #Ocak2023 #YapayZeka #Python #Eğitim #JavaScript https://t.co/eoixQ7NrkF",veri yapıları javascript eğitimim yarın başlıyor kayıt için son saatler geçen seneki fiyatlarla son eğitim kayıt ve detaylar için,veri yapıları javascript eğitimim yarın başlıyor kayıt için son saatler geçen seneki fiyatlarla son eğitim kayıt ve detaylar için,veri yapıları javascript eğitimim yarın başlıyor kayıt için son saatler geçen seneki fiyatlarla son eğitim kayıt detaylar için,Nötr,0 - 25%,0.0,1.0,0.0,0.0
"Veri Bilimi için Python Hızlı Referans

https://t.co/3tFN9iurQj

🔊 JavaScript Eğitimim Yarın Başlıyor Kayıt için Son Saatler

🔥 Geçen Seneki Fiyatlarla Son Eğitim

✍️ Kayıt ve Detaylar için:

🔗 https://t.co/XwMhPXDwgW

🏷️ #ZaferDemirkol #Ocak2023 #YapayZeka  #JavaScript https://t.co/ryBeRbmgdT",veri bilimi için python hızlı referans javascript eğitimim yarın başlıyor kayıt için son saatler geçen seneki fiyatlarla son eğitim kayıt ve detaylar için,veri bilimi için python hızlı referans javascript eğitimim yarın başlıyor kayıt için son saatler geçen seneki fiyatlarla son eğitim kayıt ve detaylar için,veri bilimi için python hızlı referans javascript eğitimim yarın başlıyor kayıt için son saatler geçen seneki fiyatlarla son eğitim kayıt detaylar için,Nötr,0 - 25%,0.0,1.0,0.0,0.0
