Kullanıcı_Adı,Tweet_Tarih,Tweet,Tweet_Clear,Tweet_Eng,Tweet_Ayrı_Eng,Tweet_Ayrı_TR,Tweet_Toxic,TR_Kök,Eng_Kök,TextBlobTür,TextBlobYoğunluk
Orhon Can Dağtekin,2023-01-24 04:02:14+00:00,"bunu da önermişler, python kodları da var analizleri anlatırken. book seçip 0 doları seçerek indirebilirsiniz. maili sallasanız da olur. https://t.co/2x2XHLC3Am",bunu da önermişler python kodları da var analizleri anlatırken book seçip doları seçerek indirebilirsiniz maili sallasanız da olur,they also suggested that python codes also have the analysis when explaining the book you can select the dollar you can download the mail,also suggested python codes also analysis explaining book select dollar download mail,önermişler python kodları analizleri anlatırken book seçip doları seçerek indirebilirsiniz maili sallasanız olur,Toxic değil,  öner python kodu analiz anlatır book seçip do seçerek indirebilir mail sallasa olur,  also suggest python code also analysi explain book select dollar download mail,Nötr,0 - 25%
Şırdancı Ahmet Usta,2023-01-24 02:45:27+00:00,Abla python kullansana mal mısın https://t.co/wH3pW2M0BU,abla python kullan mal mısın,"sister, use python, are you goods","sister, use python, goods",abla python kullan mal mısın,Toxic değil,  ap python kulla mal mı,"  sister, use python, good",Nötr,0 - 25%
Coding TXT,2023-01-24 00:46:53+00:00,"Python'da Veritabanı İşemleri Tablo Oluşturma,Veri Ekleme,Veri Güncelleme https://t.co/4STteCMzFt 
#python #db #sqlite3",python da veritabanı işlemleri tablo oluşturma veri ekleme veri güncelleme,database transactions in python creation creation data add data update,database transactions python creation creation data add data update,python veritabanı işlemleri tablo oluşturma veri ekleme veri güncelleme,Toxic değil,  python veritaba işlem tablo oluşturma ver ekle ver güncelle,  databas transact python creation creation data add data updat,Nötr,0 - 25%
Tolga Seyhan,2023-01-23 22:04:11+00:00,"@Benediximus_ @atilla_yayla @emrahgulsunar “C, Java, Python hep saymaya 0’dan başlıyor, dijital çağı yakalama noktasında…” falan dese daha mantıklı/inandırıcı olurdu.",c java python hep saymaya dan başlıyor dijital çağı yakalama noktasında falan dese daha mantıklı inandırıcı olurdu,"c java python always starts from counting, it would be more convincing if he said at the point of capturing the digital age or something.","c java python always starts counting, would convincing said point capturing digital age something.",c java python saymaya dan başlıyor dijital çağı yakalama noktasında dese mantıklı inandırıcı olurdu,Toxic değil,  c jav python sayma dan başlıyor dijital çak yakala nokta des mantıklı inandırıç olur,"  c java python alway start counting, would convinc said point captur digit age something.",Pozitif,%50 - %75
Bilginiz Olsun,2023-01-23 21:10:57+00:00,"E-Devlet'te bulunan bazı eğitimler:

- Yabancı dil eğitimleri

- Arama motoru optimizasyonu ( SEO )

- 3ds Max ile modelleme

- Python ile programlama

- SQL 

- Excel eğitimi https://t.co/eMg5IbHBrB",e devlet te bulunan bazı eğitimler yabancı dil eğitimleri arama motoru optimizasyonu seo ds max ile modelleme python ile programlama sql excel eğitimi,some trainings found in the state foreign language trainings search engine optimization seo ds max modeling with python with python sql excel training,trainings found state foreign language trainings search engine optimization seo ds max modeling python python sql excel training,e devlet te bulunan eğitimler yabancı dil eğitimleri arama motoru optimizasyonu seo ds max modelleme python programlama sql excel eğitimi,Toxic değil,  e devlet te buluna eğitim yabancı dil eğitim ara motor optimizasyo seo ds max modelle python programla sql excel eğit,  train found state foreign languag train search engin optim seo ds max model python python sql excel train,Negatif,0 - 25%
Zêlal Semizotu Koç,2023-01-23 19:35:15+00:00,Python'dan sonra R öğrenmek üzere çıktığım bu yolda şu an matris çalışıyorum. Az sonra ayt mat videolarına bağlanıp soru bankası sipariş ediyorum glb,python dan sonra r öğrenmek üzere çıktığım bu yolda şu an matris çalışıyorum az sonra ayt mat videolarına bağlanıp soru bankası sipariş ediyorum galiba,"after python, i am currently working on this road to learn r.","python, currently working road learn r.",python dan r öğrenmek çıktığım yolda an matris çalışıyorum ayt mat videolarına bağlanıp soru bankası sipariş ediyorum galiba,Toxic değil,  python dan r öğrenmek çıktık yol an matris çalışıyor ayt mat video bağlanıp sor bankas sipariş ediyor galip,"  python, current work road learn r.",Nötr,%25 - %50
uh okay 🧑‍💻🍺,2023-01-23 19:35:13+00:00,Python ile Derin Öğrenme - François Chollet kitabina ihtiyaci olan varsa gonderebilirim.,python ile derin öğrenme françois Cholet kitabına ihtiyacı olan varsa gönderebilirim,"deep learning with python, i can send françois cholet if anyone needs it","deep learning python, send françois cholet anyone needs",python derin öğrenme françois Cholet kitabına ihtiyacı olan varsa gönderebilirim,Toxic değil,  python der öğrenme françois Cholet kitap ihtiyaç ola var gönderebilir,"  deep learn python, send françoi cholet anyon need",Nötr,%25 - %50
Emir ÇİÇEK,2023-01-23 19:22:41+00:00,@rdvnblmr1 Şuan 8. Sınıf olduğum için yazılım derslerine bir müddet ara vermek zorunda kaldım ama bu süre zarfında kendimi geliştirdim. Python'da bir sürü proje yaptım ve yapmaya devam ediyorum. LGS den hemen sonra kursa devam edeceğim.,şu an sınıf olduğum için yazılım derslerine bir müddet ara vermek zorunda kaldım ama bu süre zarfında kendimi geliştirdim python da bir sürü proje yaptım ve yapmaya devam ediyorum lgs den hemen sonra kursa devam edeceğim,"since i am a class now, i had to take a break in software lessons for a while, but during this time i developed myself in python, i did a lot of projects and i continue to do so i will continue the course immediately after lgs","since class now, take break software lessons while, time developed python, lot projects continue continue course immediately lgs",an sınıf olduğum yazılım derslerine müddet ara vermek zorunda kaldım süre zarfında kendimi geliştirdim python sürü proje yaptım yapmaya devam ediyorum lgs den hemen kursa devam edeceğim,Toxic değil,  an sınıf olduk yazıl ders müddet ar vermek zor kal sür zarf kendi geliştir python sür proje yap yapma deva ediyor lgs den heme kur deva edecek,"  sinc class now, take break softwar lesson while, time develop python, lot project continu continu cours immedi lg",Nötr,%25 - %50
Bay C.,2023-01-23 19:11:38+00:00,"Matematik dersi için random modülü ile sayı tahmin oyunu
#Python #random https://t.co/amx1SMSmDb",matematik dersi için random modülü ile sayı tahmin oyunu,number estimation game with random module for math lesson,number estimation game random module math lesson,matematik dersi random modülü sayı tahmin oyunu,Toxic değil,  matematik dersi rando modül sa tahm oy,  number estim game random modul math lesson,Negatif,%25 - %50
Bay C.,2023-01-23 19:05:17+00:00,"Yazılımla eğitim-öğretim, sınav vb gibi bir çok iş kolay hale geliyor:)#Python #javascript #c++ https://t.co/7RtUfrMRLe",yazılımla eğitim öğretim sınav vb gibi bir çok iş kolay hale geliyor python,a lot of work such as software education and training exams etc. is becoming easy python,lot work software education training exams etc. becoming easy python,yazılımla eğitim öğretim sınav vb iş kolay hale geliyor python,Toxic değil,  yazıl eğit öğret sınav vb iş kolay hale geliyor python,  lot work softwar educ train exam etc. becom easi python,Pozitif,%75 - %100
