Tweet_Id,Tweet,Tweet_Değiştirilmiş,Tweet_Tarih,Kullanıcı_Id,Kullanıcı_Adı,Dil
1596942130848870400,@ankara_kusu Şans,  Şans,2022-11-27 19:00:48+00:00,1009366026037940225,Maksut  Terzi,tr
1596941320420880384,@ankara_kusu Taşiyan senmisin ?,  Taşiyan senmisin  ,2022-11-27 18:57:35+00:00,1536455354548203522,Dmc,tr
1596940604482936832,"@Ankara_1926 @Haber 1. Ben ev sahibi değilim
2. Sadece kira geliri ile geçinenler var
3. Burası hukuk devleti istey… https://t.co/IDsEFHQWNa",      Ben ev sahibi değilim   Sadece kira geliri ile geçinenler var   Burası hukuk devleti istey   ,2022-11-27 18:54:44+00:00,1506487738673082368,k rostova,tr
1596940428137607168,@ankara_kusu Sende harbi kafayı yedin.,  Sende harbi kafayı yedin ,2022-11-27 18:54:02+00:00,493722676,Legend.🏆🥇💙❤️,tr
1596940345476288513,@evrimmaymunoglu özellikle Ankara'daki ablam götüne adının baş harflerini kazır selfi çeker.,  özellikle Ankara daki ablam götüne adının baş harflerini kazır selfi çeker ,2022-11-27 18:53:42+00:00,810424754494697472,Tevbo☀️Sonnenbrand,tr
1596939933247102977,@ankara_kusu Eeeee iftiralarını yaşamadan s.o gitmeyecekler…,  Eeeee iftiralarını yaşamadan s o gitmeyecekler ,2022-11-27 18:52:04+00:00,756387853999964160,Tarık,tr
1596934052006674432,2-) iki kat güçlenerek gelirler. 2 seneye erken seçim olabilir. Ankara’nın asıl simgesi olan Hitit Güneşini bile te… https://t.co/KPaE7kzp7R,  iki kat güçlenerek gelirler    seneye erken seçim olabilir  Ankara nın asıl simgesi olan Hitit Güneşini bile te   ,2022-11-27 18:28:42+00:00,1455584540643237895,Kureselsaatci,tr
1596933920901148674,@ankara_kusu 🤣🤣 Akşam akşam güldürdün. CHP AKP için çalışıyor seçimlerde. Kılıçdaroğlu olduğu sürece Atatürk'ümüzün… https://t.co/Btn063qdhz,  🤣🤣 Akşam akşam güldürdün  CHP AKP için çalışıyor seçimlerde  Kılıçdaroğlu olduğu sürece Atatürk ümüzün   ,2022-11-27 18:28:10+00:00,1296916085606879233,HayatveBorsa,tr
1596933749564141568,@ankara_kusu Bunlari beyinleri var diye ciddiye alip cevap yazanlara da sasiyorum. KK 58 diye bir Twit atan profil.… https://t.co/S1BzGMias2,  Bunlari beyinleri var diye ciddiye alip cevap yazanlara da sasiyorum  KK   diye bir Twit atan profil   ,2022-11-27 18:27:30+00:00,1035924931,El Conquistador,tr
1596933407891914752,@ankara_kusu Aminn en yakın zamanda sen ve tüm bakanlarına nasip olur inşallah,  Aminn en yakın zamanda sen ve tüm bakanlarına nasip olur inşallah,2022-11-27 18:26:08+00:00,1472115960136015876,Yassin Abi,tr
